Liquid Oxygen,,,,
,,,,
Density,[kg/m^3],1303.9,,
Temperature,[C],-218,,
Dynamic Viscosity,[Pa s],0.0007793,,
,,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],,
0.462000966,-2.84659E-06,0.100707196,,
0.459830105,1.97111E-05,0.089449219,,
0.457659245,6.07884E-05,0.07800699,,
0.455488384,8.56826E-05,0.075631641,,
0.453317523,0.000118518,0.076883189,,
0.451146662,0.000141457,0.07923042,,
0.448975801,0.000160861,0.07869859,,
0.446804941,0.000206925,0.080363184,,
0.44463408,0.000221528,0.081185378,,
0.442463219,0.000250336,0.071620241,,
0.440292358,0.000295343,0.063722551,,
0.438121498,0.000307239,0.06304878,,
0.435950637,0.000338247,0.052453369,,
0.433779776,0.00038205,0.04756511,,
0.431608915,0.000393612,0.047866732,,
0.429438055,0.000413896,0.042046577,,
0.427267194,0.000445394,0.035583105,,
0.425096333,0.000465409,0.031874392,,
0.422925472,0.000511783,0.0279787,,
0.420754611,0.000533137,0.026923316,,
0.418583751,0.000558304,0.023134088,,
0.41641289,0.000601175,0.016827541,,
0.414242029,0.000607742,0.016744694,,
0.412071168,0.000658886,0.016658487,,
0.409900308,0.000680297,0.01844758,,
0.407729447,0.000696846,0.018841561,,
0.405558586,0.000746823,0.01843771,,
0.403387725,0.000763267,0.018437065,,
0.401216865,0.000784131,0.017112618,,
0.399046004,0.000801501,0.018012183,,
0.396875143,0.000851713,0.011000373,,
0.394704282,0.000869935,0.005039229,,
0.392533422,0.000889377,0.010672925,,
0.390362561,0.000939638,0.020079097,,
0.3881917,0.000955275,0.018879514,,
0.386020839,0.00097602,0.024703192,,
0.383849978,0.000992914,0.025915222,,
0.381679118,0.001044275,0.019092277,,
0.379508257,0.001064159,0.014754117,,
0.377337396,0.001084624,0.012086905,,
0.375166535,0.001136062,0.013941794,,
0.372995675,0.001151991,0.0178719,,
0.370824814,0.001172997,0.022610936,,
0.368653953,0.001189237,0.027047083,,
0.366483092,0.00123902,0.035638452,,
