Soybean Oil,,,
,,,
Density,[kg/m^3],906.1,
Temperature,[C],40,
Dynamic Viscosity,[Pa s],0.028469662,
,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],
0.462000966,-2.47232E-06,0.075620294,
0.459830105,1.33227E-05,0.063310199,
0.457659245,4.19708E-05,0.052406244,
0.455488384,5.93309E-05,0.051400695,
0.453317523,8.22539E-05,0.052758984,
0.451146662,9.82203E-05,0.055743869,
0.448975801,0.000111764,0.05852212,
0.446804941,0.000143877,0.068453156,
0.44463408,0.000154045,0.071879417,
0.442463219,0.00017402,0.062503561,
0.440292358,0.000205246,0.055311568,
0.438121498,0.000213502,0.054918207,
0.435950637,0.000235005,0.044868648,
0.433779776,0.000265396,0.042203575,
0.431608915,0.00027342,0.043138713,
0.429438055,0.000287496,0.037091754,
0.427267194,0.000309356,0.030396573,
0.425096333,0.000323246,0.02655646,
0.422925472,0.000355448,0.022506015,
0.420754611,0.000370279,0.021495177,
0.418583751,0.000387745,0.017912271,
0.41641289,0.000417492,0.012172543,
0.414242029,0.000422051,0.012159927,
0.412071168,0.00045756,0.013118565,
0.409900308,0.000472437,0.015172052,
0.407729447,0.000483928,0.015983414,
0.405558586,0.000518627,0.01677105,
0.403387725,0.000530048,0.016969884,
0.401216865,0.000544532,0.016547898,
0.399046004,0.000556588,0.018685352,
0.396875143,0.000591481,0.011493783,
0.394704282,0.000604159,0.003636849,
0.392533422,0.000617686,0.01083141,
0.390362561,0.000652624,0.021350097,
0.3881917,0.000663482,0.019786378,
0.386020839,0.000677899,0.025754707,
0.383849978,0.000689635,0.026874675,
0.381679118,0.000725301,0.019172266,
0.379508257,0.000739107,0.014238942,
0.377337396,0.000753316,0.010925996,
0.375166535,0.000789033,0.012637708,
0.372995675,0.000800094,0.016889216,
0.370824814,0.000814686,0.021400988,
0.368653953,0.000825964,0.025990084,
0.366483092,0.000860546,0.033605106,
0.364312232,0.000873923,0.034289796,
0.362141371,0.000887266,0.035178345,
0.35997051,0.000921667,0.037791222,
0.357799649,0.000932875,0.038270026,
0.355628788,0.000947392,0.038437415,
0.353457928,0.000958244,0.038739987,
0.351287067,0.000993001,0.036606763,
0.349116206,0.001006733,0.034774814,
0.346945345,0.001019932,0.033269722,
0.344774485,0.001054445,0.03118279,
0.342603624,0.001066036,0.03148235,
0.340432763,0.00108055,0.032688335,
0.338261902,0.001091136,0.032999598,
0.336091042,0.00112633,0.036209669,
0.333920181,0.001140352,0.038247723,
0.33174932,0.001153305,0.039728209,
0.329578459,0.001187955,0.040547159,
0.327407598,0.001199994,0.040235981,
0.325236738,0.001214523,0.04100848,
0.323065877,0.001224769,0.041152142,
0.320895016,0.001260362,0.040418938,
0.318724155,0.001274651,0.039785553,
0.316553295,0.00128732,0.039474927,
0.314382434,0.001322206,0.040299185,
0.312211573,0.001334704,0.041261487,
0.310040712,0.001349134,0.042690404,
0.307869852,0.001385091,0.047532681,
0.305698991,0.001395045,0.049289186,
0.30352813,0.001409287,0.051260702,
0.301357269,0.001421305,0.052889019,
0.299186409,0.001455775,0.056766786,
0.297015548,0.001468411,0.057839613,
0.294844687,0.001482435,0.059048858,
0.292673826,0.001517927,0.061964016,
0.290502965,0.001528355,0.06270656,
0.288332105,0.001542661,0.063755237,
0.286161244,0.001554173,0.065254264,
0.283990383,0.001588766,0.068603918,
0.281819522,0.001601486,0.06936127,
0.279648662,0.001614228,0.070364393,
0.277477801,0.001649739,0.074521378,
0.27530694,0.001661119,0.076129615,
0.273136079,0.001674636,0.077942252,
0.270965219,0.001708738,0.081513748,
0.268794358,0.001719189,0.081888825,
0.266623497,0.001734088,0.081665933,
0.264452636,0.001765554,0.080655038,
0.262281775,0.001774399,0.079547882,
0.260110915,0.001789473,0.077158049,
0.257940054,0.001799222,0.075606525,
0.255769193,0.001832289,0.074161463,
0.253598332,0.001848271,0.074276678,
0.251427472,0.001859864,0.074281,
0.249256611,0.001892785,0.076548465,
0.24708575,0.001908054,0.078423962,
0.244914889,0.001922077,0.080127694,
0.242744029,0.001953134,0.084290125,
0.240573168,0.001965947,0.086208999,
0.238402307,0.001982316,0.088655971,
0.236231446,0.00201532,0.093195319,
0.234060585,0.00202428,0.094242498,
0.231889725,0.002040858,0.096200854,
0.229718864,0.002054043,0.09775506,
0.227548003,0.002084662,0.100603081,
0.225377142,0.002098529,0.101570629,
0.223206282,0.002114879,0.102716558,
0.221035421,0.002147334,0.105010211,
0.21886456,0.002156979,0.105702691,
0.216693699,0.002173828,0.1069296,
0.214522839,0.002186484,0.107846424,
0.212351978,0.002217232,0.110702224,
0.210181117,0.002231649,0.112308756,
0.208010256,0.002247833,0.114121154,
0.205839396,0.00227958,0.117546953,
0.203668535,0.002289483,0.118550241,
0.201497674,0.002306324,0.120253041,
0.199326813,0.002318748,0.121549927,
0.197155952,0.00234883,0.125229806,
0.194985092,0.002363032,0.127269298,
0.192814231,0.002379207,0.129899114,
