Soybean Oil,,
,,
Density,[kg/m^3],918.5
Temperature,[C],20
Dynamic Viscosity,[Pa s],0.06164972
,,
 Z [ m ], Pressure [ MPa ],Velocity [ m s^-1 ]
0.462000966,-2.85506E-06,0.05769106
0.459830105,1.32239E-05,0.048101876
0.457659245,4.2308E-05,0.039158963
0.455488384,5.99312E-05,0.03826059
0.453317523,8.32006E-05,0.038064141
0.451146662,9.93572E-05,0.039787568
0.448975801,0.000113178,0.043472875
0.446804941,0.000145877,0.054899704
0.44463408,0.000156215,0.058680505
0.442463219,0.000176505,0.052059386
0.440292358,0.000208239,0.047115732
0.438121498,0.000216629,0.046816938
0.435950637,0.000238384,0.038112912
0.433779776,0.0002692,0.035154626
0.431608915,0.000277349,0.035661154
0.429438055,0.000291546,0.031202493
0.427267194,0.000313659,0.026025897
0.425096333,0.000327731,0.022824641
0.422925472,0.000360373,0.018704727
0.420754611,0.000375403,0.017454386
0.418583751,0.0003931,0.013969942
0.41641289,0.000423228,0.008361689
0.414242029,0.00042784,0.008286461
0.412071168,0.000463821,0.009174842
0.409900308,0.000478909,0.011021783
0.407729447,0.000490567,0.011853391
0.405558586,0.000525765,0.013495958
0.403387725,0.000537346,0.014016308
0.401216865,0.000552026,0.014403068
0.399046004,0.000564252,0.016678985
0.396875143,0.000599589,0.010776653
0.394704282,0.00061241,0.003844361
0.392533422,0.000626085,0.008791489
0.390362561,0.000661465,0.018100165
0.3881917,0.000672481,0.017024705
0.386020839,0.000687095,0.02270373
0.383849978,0.000698998,0.023750102
0.381679118,0.000735199,0.016812872
0.379508257,0.000749219,0.012500351
0.377337396,0.000763649,0.009769368
0.375166535,0.000799895,0.011878765
0.372995675,0.000811111,0.015760275
0.370824814,0.000825903,0.019715233
0.368653953,0.000837335,0.023717115
0.366483092,0.000872379,0.030126723
0.364312232,0.000885931,0.030418934
0.362141371,0.000899448,0.030804645
0.35997051,0.000934297,0.032082804
0.357799649,0.000945649,0.032166984
0.355628788,0.00096035,0.031679176
0.353457928,0.000971345,0.031621058
0.351287067,0.001006554,0.028810391
0.349116206,0.001020463,0.026901338
0.346945345,0.001033833,0.025384998
0.344774485,0.001068803,0.023959838
0.342603624,0.00108055,0.024614813
0.340432763,0.001095255,0.026291091
0.338261902,0.001105982,0.026736913
0.336091042,0.001141653,0.030009028
0.333920181,0.001155868,0.031965159
0.33174932,0.001168997,0.033422366
0.329578459,0.001204112,0.034327015
0.327407598,0.00121631,0.034063194
0.325236738,0.001231031,0.03479467
0.323065877,0.001241411,0.034961142
0.320895016,0.001277476,0.034523584
0.318724155,0.001291957,0.034070909
0.316553295,0.001304796,0.033850301
0.314382434,0.001340165,0.034480289
0.312211573,0.001352842,0.035256468
0.310040712,0.001367482,0.036432378
0.307869852,0.001403951,0.040416654
0.305698991,0.001414042,0.041858826
0.30352813,0.001428486,0.043355394
0.301357269,0.00144067,0.044588909
